аксессуар аксессуары
аналогичный аналогичный
английский английском
анонсировать анонсировать
беспроводный беспроводной
быть будет
вид вида
возможный возможная
вт вт
второй второго
выемка выемку
выход выхода
говориться говорится
дата дата дате дату
действие действий
дизайн дизайн
динамический динамический
дисплей дисплеем
доступ доступа
доступный доступном
дюймовый дюймовым
задний заднего задней
зарядка зарядки
издание издание
иметь иметь
источник источник источники
камера камерой
ключевой ключевые
кнопка кнопкой
который котором который
кошелёк кошелёк
магнит магнита
магнитная магнитной
модем модем
можно можно
мощность мощностью
надёжность надёжность
надёжный надёжные
напомнить напомним
некоторый некоторые
необычный необычную
новый нового
обновление обновления
общий общий общую
один одной
ожидать ожидаемые
он его
оснастить оснащен
остров остров
отдельный отдельном
отличие отличие
отчёт отчете отчёту
официальный официальной
панель панели
перечисление перечислением
персональный персональной
писать пишет
планировать планирует
повысить повысит
повышать повышающий
поддержка поддержки
подогреваться подогреваются
поколение поколения
помощь помощью
порт портом
похожий похожую
предполагать предполагаемых
прежний прежнему
премьера премьеры
пресс пресс
приводиться приводятся
прикрепить прикрепить
производительность производительность
просочиться просочились
публикация публикации
релиз релиза
самый самым
сегодня сегодня
сеть сеть
система системой
слух слухи
смартфон смартфона
сообщаться сообщается
сообщение сообщении
сообщить сообщил
такой такие
теперь теперь
технический технических
точка точки
указывать указывали
устройство устройство
февраль февраля
характеристика характеристик характеристики
цитироваться цитируется
четверг четверг
чип чип чипа чипом
энергоэффективность энергоэффективность
энергоэффективный энергоэффективным
являться является
язык языке
